0: 124E
78: 6801
80: 6905
82: 6A0A
84: 6B01
86: 652A
88: 662B
90: A216
92: D8B4
94: A23E
96: D9B4
98: A202
100: 362B
104: DAB4
106: 6B06
108: A21A
110: D8B4
112: A23E
114: D9B4
116: A206
118: 452A
120: A202
122: DAB4
124: 6B0B
126: A21E
128: D8B4
130: A23E
132: D9B4
134: A206
136: 5560
138: A202
140: DAB4
142: 6B10
144: A226
146: D8B4
148: A23E
150: D9B4
152: A206
154: 76FF
156: 462A
160: DAB4
162: 6B15
164: A22E
166: D8B4
168: A23E
170: D9B4
172: A206
174: 9560
178: DAB4
180: 6B1A
182: A232
184: D8B4
186: A23E
188: D9B4
190: 2242
66: A202
68: DAB4
70: EE
192: 6817
194: 691B
196: 6A20
198: 6B01
200: A20A
202: D8B4
204: A236
206: D9B4
208: A202
210: DAB4
212: 6B06
214: A22A
216: D8B4
218: A20A
220: D9B4
222: A206
224: 8750
226: 472A
228: A202
230: DAB4
232: 6B0B
234: A22A
236: D8B4
238: A20E
240: D9B4
242: A206
244: 672A
246: 87B1
248: 472B
250: A202
252: DAB4
254: 6B10
256: A22A
258: D8B4
260: A212
262: D9B4
264: A206
266: 6678
268: 671F
270: 8762
272: 4718
274: A202
276: DAB4
278: 6B15
280: A22A
282: D8B4
284: A216
286: D9B4
288: A206
290: 6678
292: 671F
294: 8763
296: 4767
298: A202
300: DAB4
302: 6B1A
304: A22A
306: D8B4
308: A21A
310: D9B4
312: A206
314: 668C
316: 678C
318: 8764
320: 4718
324: DAB4
326: 682C
328: 6930
330: 6A34
332: 6B01
334: A22A
336: D8B4
338: A21E
340: D9B4
342: A206
344: 668C
346: 6778
348: 8765
350: 47EC
354: DAB4
356: 6B06
358: A22A
360: D8B4
362: A222
364: D9B4
366: A206
368: 66E0
370: 866E
372: 46C0
376: DAB4
378: 6B0B
380: A22A
382: D8B4
384: A236
386: D9B4
388: A206
390: 660F
392: 8666
394: 4607
396: A202
398: DAB4
400: 6B10
402: A23A
404: D8B4
406: A21E
408: D9B4
410: A3E8
412: 6000
414: 6130
416: F155
418: A3E9
420: F065
422: A206
424: 4030
428: DAB4
430: 6B15
432: A23A
434: D8B4
436: A216
438: D9B4
440: A3E8
442: 6689
444: F633
446: F265
448: A202
450: 3001
452: A206
454: 3103
456: A206
458: 3207
460: A206
462: DAB4
464: 6B1A
466: A20E
468: D8B4
470: A23E
472: D9B4
474: 1248
72: A202
74: DAB4
76: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
476: 13DC
